store_number,store_name,address,city,zip_code,county_number
4445,Kum & Go #4127 / SLOAN,1864 HWY 141,SLOAN,51055,97
4446,Kum & Go #196 / WEBSTER CITY,1102 2ND ST,WEBSTER CITY,50595,40
4447,QUIK TRIP #513 / URBANDALE,4600 MERLE HAY RD,URBANDALE,50322,77
4448,QUIK TRIP #567 / URBANDALE,"9915, DOUGLAS AVE",URBANDALE,50322,77
4449,Kum & Go #572 / URBANDALE,4860 NW URBANDALE DR,URBANDALE,50322,77
4450,Kum & Go #121 / URBANDALE,12041 DOUGLAS PKWY,URBANDALE,50322,77
4451,Kum & Go #157 / URBANDALE,4585 156TH ST,URBANDALE,50323,77
4452,Kum & Go #96 / WEBSTER CITY,1803 SUPERIOR ST,WEBSTER CITY,50595,40
4453,Select Mart    Gordon Dr,2825 GORDON DR,SIOUX CITY,51105,97
4454,SID'S GAS and GROCERIES,"1116, HWY 69 SOUTH",FOREST CITY,50436,95
4455,Kum & Go #248 / Sioux City,2026 RIVERSIDE BLVD,SIOUX CITY,51109,97
4456,Kum & Go #1959 / Eldora,2359 EDGINGTON AVE,ELDORA,50627,42
4457,Kum & Go #53 / Iowa City,955 MORMAN TREK BLVD,IOWA CITY,52246,52
4458,KUM & GO #422 / IOWA CITY,513 S RIVERSIDE DR,IOWA CITY,52240,52
4459,QUIK TRIP #568 / JOHNSTON,5169 MERLE HAY RD,JOHNSTON,50131,77
4460,Kum & Go #544 / Eagle Grove,1120 S COMMERCIAL,EAGLE GROVE,50533,99
4461,MOORE'S FOODS,808 S Main St,Monona,52159,22
4462,QUIK TRIP #503 / WINDSOR HEIGHTS,7220 HICKMAN RD,WINDSOR HEIGHTS,50324,77
4463,SHELTON'S,"113, 1ST ST NW",BUFFALO CENTER,50424,95
4464,Casey's General Store #3031 / Garner,145 US HWY 18 W,GARNER,50438,41
4465,Perfect Value Liquor Mart,5B  LINCOLN AVE,ELDRIDGE,52748,82
4466,HOME TOWN FOOD ON 4,714 S EAST ST,POMEROY,50575,13
4467,THE PUMPER,515 W WATER ST,FAYETTE,52142,33
